"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_8000","finished","-","","","2025-09-09T12:49:36.000Z","62","","512","8000","0","6","0.10090000182390212","2.302077293395996","2.2993884086608887","750","0.0966000035405159","2.3025007247924805"
"sample_55000","finished","-","","","2025-09-09T14:42:30.000Z","5279","","512","55000","0","169","0.9664999842643738","0.11187375336885452","0.0183864738792181","145340","0.9642000198364258","0.1145881935954094"
"sample_40000","finished","-","","","2025-09-10T15:03:21.000Z","197","","512","40000","42","9","0.15800000727176666","2.2888503074645996","2.2899346351623535","5625","0.14659999310970306","2.2888436317443848"
"sample_32000","finished","-","","","2025-09-10T14:18:03.000Z","103","","128","32000","42","8","0.11349999904632568","2.2958033084869385","2.296100616455078","4000","0.1103999987244606","2.2961366176605225"
"sample_8000","finished","-","","","2025-09-09T11:12:32.000Z","44","","16","8000","0","6","0.0957999974489212","2.3075029850006104","2.3157525062561035","750","0.10360000282526016","2.3071770668029785"
"sample_32000","finished","-","","","2025-09-09T12:16:01.000Z","131","","128","32000","0","6","0.11349999904632568","2.2970614433288574","2.290795087814331","3000","0.11020000278949738","2.2975313663482666"
"sample_8000","finished","-","","","2025-09-09T11:53:29.000Z","99","","64","8000","0","13","0.11349999904632568","2.3017611503601074","2.3004021644592285","1625","0.11020000278949738","2.3011999130249023"
"sample_12000","finished","-","","","2025-09-10T14:46:59.000Z","627","","512","12000","42","80","0.5277000069618225","1.9856421947479248","2.030911445617676","15040","0.5278000235557556","1.99092435836792"
"sample_8000","finished","-","","","2025-09-10T13:59:27.000Z","32","","64","8000","42","6","0.10100000351667404","2.303657054901123","2.308454990386963","750","0.10620000213384628","2.3023788928985596"
"sample_12000","finished","-","","","2025-09-10T13:38:31.000Z","38","","16","12000","42","6","0.0982000008225441","2.312457323074341","2.32908034324646","1128","0.09920000284910202","2.311349391937256"
"sample_12000","finished","-","","","2025-09-10T14:14:59.000Z","87","","128","12000","42","14","0.16590000689029694","2.298102617263794","2.2976632118225098","2632","0.1632000058889389","2.29834246635437"
"sample_32000","finished","-","","","2025-09-10T01:37:45.000Z","83","","64","32000","1","10","0.14480000734329224","2.294452428817749","2.2928760051727295","5000","0.14079999923706055","2.295316219329834"
"sample_55000","finished","-","","","2025-09-10T13:45:11.000Z","269","","16","55000","42","13","0.11349999904632568","2.3010363578796387","2.3178417682647705","11180","0.1103999987244606","2.3003528118133545"
"sample_25000","finished","-","","","2025-09-10T14:57:31.000Z","161","","512","25000","42","11","0.1590999960899353","2.293031930923462","2.2902536392211914","4301","0.14659999310970306","2.2928948402404785"
"sample_32000","finished","-","","","2025-09-10T14:32:19.000Z","154","","256","32000","42","11","0.13609999418258667","2.2937514781951904","2.292228937149048","5500","0.13379999995231628","2.294088840484619"
