"Name","State","Created","Runtime","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_40000","finished","2025-09-16T14:40:41.000Z","431","1024","40000","1","13","0.4706999957561493","2.154364109039306","2.1362364292144775","8125","0.4691999852657318","2.1577060222625732"
"sample_32000","finished","2025-09-16T14:34:23.000Z","376","1024","32000","1","14","0.49050000309944153","2.20933198928833","2.2241666316986084","7000","0.49300000071525574","2.211531400680542"
"sample_25000","finished","2025-09-16T14:27:37.000Z","404","1024","25000","1","19","0.48820000886917114","2.1925365924835205","2.1861512660980225","7429","0.48840001225471497","2.195100784301758"
"sample_12000","finished","2025-09-16T14:22:55.000Z","280","1024","12000","1","23","0.4510999917984009","2.267660140991211","2.268479108810425","4324","0.4462000131607056","2.268489360809326"
"sample_8000","finished","2025-09-16T14:19:33.000Z","200","1024","8000","1","22","0.4481000006198883","2.2840161323547363","2.285999298095703","2750","0.4406000077724457","2.284627914428711"
"sample_55000","finished","2025-09-16T13:10:37.000Z","4134","512","55000","1","171","0.9472000002861024","0.18231846392154696","0.26902127265930176","147060","0.9387999773025512","0.19920073449611664"
"sample_47000","finished","2025-09-16T13:04:25.000Z","371","512","47000","1","19","0.446399986743927","2.0596296787261963","2.082358121871948","13965","0.453000009059906","2.064816474914551"
"sample_40000","finished","2025-09-16T12:58:51.000Z","333","512","40000","1","20","0.4293999969959259","2.154371738433838","2.1463677883148193","12500","0.4338000118732453","2.158090353012085"
"sample_32000","finished","2025-09-16T12:53:21.000Z","329","512","32000","1","25","0.42410001158714294","2.1550545692443848","2.180537462234497","12500","0.42579999566078186","2.1586601734161377"
"sample_25000","finished","2025-09-16T12:47:51.000Z","330","512","25000","1","32","0.41940000653266907","2.155165672302246","2.1366875171661377","12512","0.42500001192092896","2.158852815628052"
"sample_12000","finished","2025-09-16T12:52:21.000Z","2320","512","12000","1","266","0.8858000040054321","0.3887611925601959","0.32040029764175415","50008","0.8885999917984009","0.4006565511226654"
"sample_8000","finished","2025-09-15T20:33:17.000Z","253","512","8000","1","32","0.26930001378059387","2.287782907485962","2.2907543182373047","4000","0.2637999951839447","2.288299322128296"
"sample_55000","finished","2025-09-15T18:23:15.000Z","7796","256","55000","1","290","0.9559999704360962","0.1504601687192917","0.1577649563550949","249400","0.951200008392334","0.16372567415237427"
