run_id,run_name,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
a52mzoza,sample_8000,1000,"(1024, 1024, 1024, 1024)",784,1024,1024,1024,10,1.1107563e-05,-1.719516e-05,2.8557484e-05,8.060722e-06,1.7107097e-05,0.020595305,0.018031927,0.018039463,0.01803868,0.017877184,0.07404759526252747,0.08294957876205444,0.16186762
1e8b5i04,sample_12000,1000,"(1024, 1024, 1024, 1024)",784,1024,1024,1024,10,1.126246e-05,-1.703168e-05,2.8653172e-05,8.192474e-06,1.7107266e-05,0.02059532,0.018031947,0.018039476,0.018038694,0.017878864,0.07407697290182114,0.08296531438827515,0.16198407
4jzviw1y,sample_25000,1000,"(1024, 1024, 1024, 1024)",784,1023,1023,1024,10,6.693836e-05,3.7307578e-05,6.511038e-05,3.4729324e-05,1.7112436e-05,0.020602109,0.018038,0.018045593,0.018045124,0.01858975,0.08459975570440292,0.08873432874679565,0.2054705
1panzcy4,sample_32000,1000,"(1024, 1024, 1024, 1024)",784,1023,1023,1024,10,6.1674175e-05,3.243247e-05,6.178585e-05,3.226116e-05,1.7111412e-05,0.020601388,0.018037358,0.018044943,0.018044433,0.01851272,0.08359716087579727,0.08817822486162186,0.20110697
24i2uzi0,sample_40000,1000,"(1024, 1024, 1024, 1024)",784,1023,1023,1024,10,6.1729545e-05,3.2471253e-05,6.17752e-05,3.2326276e-05,1.7111184e-05,0.020601407,0.018037379,0.018044958,0.018044446,0.018514615,0.08359910547733307,0.08819324523210526,0.20140004
ayc2kb58,sample_47000,1000,"(1024, 1024, 1024, 1024)",784,1023,1023,1024,10,5.9205173e-05,3.0236439e-05,6.0130387e-05,3.091689e-05,1.7111184e-05,0.020601073,0.018037079,0.018044664,0.018044135,0.018479606,0.08312354981899261,0.08793219923973083,0.1991449
tjdo2okk,sample_55000,1000,"(1024, 1024, 1024, 1024)",784,1024,1023,1024,10,0.00043763558,0.00060969614,0.00057044247,0.00044661778,1.7233391e-05,0.02104908,0.01842362,0.01843427,0.018440893,0.043306362,0.19290569424629211,0.15495960414409637,0.3183743
q3vhvb95,sample_8000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-8.609537e-05,0.025750684,-0.02001594,0.039951123,0.028955817,0.020612104,0.18720672,0.18940307,0.20687342,0.20657502,0.07778880000114441,0.07870441675186157,0.67060375
9rgsco39,sample_12000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-8.5737745e-05,0.025749626,-0.020021772,0.039937843,0.028955828,0.020611823,0.18720391,0.18940225,0.20687473,0.206523,0.07789553701877594,0.07866711914539337,0.6689506
1d29shzp,sample_25000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-8.325274e-05,0.025748834,-0.020038337,0.039891087,0.028955836,0.020611275,0.18719861,0.18940404,0.20688318,0.20633747,0.0787048190832138,0.07870059460401535,0.66472214
027is7lr,sample_32000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-8.076066e-05,0.025749322,-0.020045158,0.03986901,0.028955828,0.020611137,0.18719727,0.18940693,0.20688793,0.20624864,0.07930400222539902,0.07879361510276794,0.66245526
mjd6bjdh,sample_40000,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.00014308911,0.026076097,-0.020014146,0.039449707,0.028955853,0.020644959,0.18754226,0.18982606,0.20728934,0.2048767,0.1309487670660019,0.09690219163894653,0.71850276
qdlkz5bz,sample_47000,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.00014016987,0.026064212,-0.020017352,0.039455123,0.028955847,0.02064355,0.18752804,0.18980889,0.20727433,0.20488699,0.13016802072525024,0.09649571031332016,0.71565014
yyhgljzh,sample_55000,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.00012324445,0.026019286,-0.020031568,0.039466932,0.028955739,0.020638855,0.18748088,0.18975998,0.20722634,0.20491062,0.1257774382829666,0.0948549211025238,0.706605
we927b2b,sample_8000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-9.642823e-05,-0.0018652147,0.004054595,-0.00045961514,-0.008419835,0.02061807,0.14041607,0.14192039,0.14131758,0.14429638,0.07591824233531952,0.0828215703368187,0.42217278
piqgjuxf,sample_12000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-9.721713e-05,-0.0018645644,0.004053444,-0.00046221446,-0.008419836,0.02061803,0.14041576,0.14192043,0.14131677,0.1442909,0.0758405476808548,0.08274649828672409,0.42230138
j2c73vqu,sample_25000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-9.983774e-05,-0.001862705,0.0040504616,-0.00048150774,-0.008419837,0.02061793,0.14041495,0.14192083,0.14131476,0.14426097,0.07558529078960419,0.08249962329864502,0.4227524
l3uyeffe,sample_32000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.000101114,-0.0018615755,0.0040489445,-0.00048893224,-0.008419835,0.020617893,0.14041466,0.14192119,0.14131376,0.14424874,0.07546776533126831,0.08238321542739868,0.42292982
fth9q5yv,sample_40000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.000102581325,-0.0018609411,0.004047644,-0.0005011,-0.008419835,0.020617848,0.14041425,0.14192156,0.14131284,0.14423187,0.07534727454185486,0.08224325627088547,0.4232641
tgpdnxxm,sample_47000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.00010360882,-0.001860131,0.0040468154,-0.0005100593,-0.008419836,0.020617835,0.14041412,0.14192206,0.14131238,0.14421958,0.07525098323822021,0.08214826136827469,0.4233972
pxjlekx8,sample_55000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-9.6729884e-05,-0.0017673278,0.004042849,-0.0008616941,-0.00841979,0.020624628,0.14046244,0.14200218,0.14137411,0.14399236,0.07821276783943176,0.08511410653591156,0.39239213
clfmywjp,sample_8000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.2458664e-05,0.002673715,0.0028851829,-0.0010316682,-0.0022653337,0.020624738,0.1007552,0.102149844,0.10320433,0.10671383,0.07610249519348145,0.08356960862874985,0.2753863
5b7w3qha,sample_12000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.2478658e-05,0.0026742485,0.0028864215,-0.0010317909,-0.0022653334,0.020624788,0.10075544,0.10215017,0.103204906,0.10671563,0.07606448233127594,0.08358600735664368,0.27577662
twgzihr0,sample_25000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.1541757e-05,0.0026769855,0.002889272,-0.0010372908,-0.0022653274,0.020625109,0.100756995,0.10215205,0.103206374,0.10671601,0.07620368152856827,0.08371919393539429,0.27761212
