run_id,run_name,test_accuracy,sample_size,layer_structure,temp,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
ts6smrqi,sample_12000,0.2224999964237213,1000,"(64, 64, 64)",64,64,64,64,64,10,0.00019960008,-0.0017371927,0.00032186048,2.355245e-05,0.005591969,0.048515327,0.07220696,0.072484754,0.07239768,0.07283046,0.12486164271831512,0.12365180253982544,0.31584194
gk0ak3r3,sample_25000,0.2533999979496002,1000,"(64, 64, 64)",64,64,64,64,64,10,0.00019960008,-0.0016635238,0.0012554984,0.00034368315,0.0055919737,0.048515327,0.0727259,0.073026374,0.073001795,0.0769,0.14870741963386536,0.13800865411758423,0.39183688
mqjk5bfe,sample_32000,0.25619998574256897,1000,"(64, 64, 64)",64,64,64,64,64,10,0.00019960008,-0.0016958938,0.00081983785,0.00015638184,0.0055919765,0.048515327,0.072458476,0.07274881,0.07269456,0.07482039,0.13725750148296356,0.13129962980747223,0.35582072
ntbmyd8d,sample_40000,0.2628999948501587,1000,"(64, 64, 64)",64,64,64,64,64,10,0.00019960008,-0.0016982683,0.00077868695,0.00013553305,0.005591978,0.048515327,0.07243315,0.07272271,0.07266527,0.07461171,0.1360989511013031,0.13060031831264496,0.35204118
9zrn8tqh,sample_47000,0.2572000026702881,1000,"(64, 64, 64)",64,64,64,64,64,10,0.00019960008,-0.0016843084,0.000939437,0.00019365837,0.005591969,0.048515327,0.072524615,0.072817944,0.072770625,0.07532971,0.1402338445186615,0.13304877281188965,0.3650048
5349v268,sample_55000,0.8845000267028809,1000,"(64, 64, 64)",64,64,64,64,64,10,0.00019960008,-0.0023430956,0.013073425,0.010515783,0.0055928067,0.048515327,0.10401244,0.10379796,0.10481037,0.20959057,0.4176076054573059,0.30719420313835144,0.39722773
we1rsced,sample_8000,0.22110000252723697,1000,"(128, 128, 128)",128,128,128,128,128,10,2.5555668e-05,0.00010556722,3.6620302e-05,0.0001203226,-0.00089138246,0.046764202,0.05106006,0.051089365,0.051048957,0.05037991,0.11339195817708969,0.11625806987285614,0.20781271
wg9jxk26,sample_12000,0.4244999885559082,1000,"(128, 128, 128)",128,128,128,128,128,10,2.5555668e-05,0.00017079664,0.0008820952,0.0006660009,-0.00089136994,0.046764202,0.051420137,0.05144437,0.051431093,0.05556743,0.15431275963783264,0.1387528032064438,0.3180185
180rfddb,sample_25000,0.4018999934196472,1000,"(128, 128, 128)",128,128,128,128,128,10,2.5555668e-05,0.00015405042,0.0007357192,0.000544705,-0.0008913721,0.046764202,0.051339276,0.05136512,0.051346827,0.05446146,0.14632968604564667,0.1344083547592163,0.29505414
ed3lijc6,sample_32000,0.8977000117301941,1000,"(128, 128, 128)",128,128,128,128,128,10,2.5555668e-05,0.000163121,0.0059960997,0.004815506,-0.00089109724,0.046764202,0.06074134,0.06060264,0.06084714,0.13149178,0.4258594512939453,0.28249984979629517,0.43574476
cd01m0sz,sample_40000,0.915000021457672,1000,"(128, 128, 128)",128,128,128,128,128,10,2.5555668e-05,7.625972e-05,0.005987511,0.0048691505,-0.0008909878,0.046764202,0.062447216,0.062307287,0.06254004,0.14132182,0.410613477230072,0.28103572130203247,0.41846263
w3ukfab6,sample_47000,0.9473999738693236,1000,"(128, 128, 128)",128,128,128,128,128,10,2.5555668e-05,-1.907465e-05,0.0061723776,0.005186822,-0.0008905221,0.046764202,0.06758833,0.06744128,0.067629606,0.16872033,0.39408209919929504,0.29179227352142334,0.3739473
b5hnu240,sample_55000,0.932099997997284,1000,"(128, 128, 128)",128,128,128,128,128,10,2.5555668e-05,4.9285416e-05,0.0060404725,0.005017314,-0.0008909204,0.046764202,0.06441456,0.06426828,0.06448118,0.15211679,0.3983989357948303,0.28351497650146484,0.40125763
cq0iv6dx,sample_8000,0.2985000014305115,1000,"(256, 256, 256)",256,256,256,256,256,10,-3.0861775e-05,0.00010323518,7.22894e-05,7.530261e-05,0.0013084036,0.043751672,0.0360662,0.036045633,0.03607226,0.035795968,0.09781530499458313,0.10519453883171082,0.21500398
vurh9pzw,sample_12000,0.32839998602867126,1000,"(256, 256, 256)",256,256,256,256,256,10,-3.0861775e-05,0.000103631,7.633228e-05,7.736701e-05,0.0013084032,0.043751672,0.03606716,0.036046594,0.03607319,0.03581992,0.0982266366481781,0.10542961955070496,0.21657434
u90qesmm,sample_25000,0.36660000681877136,1000,"(256, 256, 256)",256,256,256,256,256,10,-3.0861775e-05,0.00010505208,9.131119e-05,8.7116816e-05,0.0013084039,0.043751672,0.03607082,0.036050282,0.036077026,0.035926893,0.09957340359687805,0.10619350522756577,0.2207856
bap3nbzu,sample_32000,0.3643999993801117,1000,"(256, 256, 256)",256,256,256,256,256,10,-3.0861775e-05,0.00010684588,0.00012387714,0.00010788362,0.0013084059,0.043751672,0.036079183,0.03605866,0.036085695,0.036159564,0.10253502428531647,0.10791005194187164,0.23274282
8ggpmowz,sample_40000,0.942900002002716,1000,"(256, 256, 256)",256,256,256,256,255,10,-3.0861775e-05,0.00017755476,0.0029892062,0.002370057,0.0013087175,0.043751672,0.040324237,0.040223885,0.040326774,0.09949886,0.318026065826416,0.24329987168312073,0.35368925
k7i2v0i9,sample_47000,0.9598000049591064,1000,"(256, 256, 256)",256,256,256,255,256,10,-3.0861775e-05,0.00016103187,0.0031926148,0.0025549645,0.0013090003,0.043751672,0.041765485,0.04164917,0.04175191,0.11360921,0.30803850293159485,0.2500161826610565,0.336226
xnq38owp,sample_55000,0.9390000104904176,1000,"(256, 256, 256)",256,256,256,256,256,10,-3.0861775e-05,0.00017792052,0.0029341206,0.0023209369,0.0013087236,0.043751672,0.040011227,0.039916076,0.04001847,0.09623386,0.32058629393577576,0.24125631153583527,0.3656277
n3tjy3gk,sample_8000,0.8962000012397766,1000,"(512, 512, 512)",512,512,512,512,512,10,-7.34771e-05,7.8089375e-05,0.001362542,0.0009875814,-0.0005082012,0.039237667,0.026347129,0.026333598,0.026361026,0.055247694,0.3020676374435425,0.20266953110694885,0.40793765
iu5ppr2g,sample_12000,0.8967000246047974,1000,"(512, 512, 512)",512,512,512,512,512,10,-7.34771e-05,8.411982e-05,0.001349456,0.0009796836,-0.00050820527,0.039237667,0.026331153,0.02631818,0.02634512,0.05483621,0.303102970123291,0.20277339220046997,0.40916717
m1svx90n,sample_25000,0.9469000101089478,1000,"(512, 512, 512)",512,512,512,512,512,10,-7.34771e-05,9.544486e-05,0.0014264472,0.0010503739,-0.0005080459,0.039237667,0.026966099,0.026948582,0.026978655,0.06895881,0.2762809097766876,0.20529571175575256,0.33869588
gigvxxzn,sample_32000,0.9186999797821044,1000,"(512, 512, 512)",512,512,512,512,511,10,-7.34771e-05,8.88256e-05,0.0013613568,0.0009891881,-0.00050815206,0.039237667,0.026504926,0.026491577,0.026520438,0.059072834,0.2922303080558777,0.20248153805732727,0.38416666
oyw3lzzj,sample_40000,0.9519000053405762,1000,"(512, 512, 512)",512,512,512,511,512,10,-7.34771e-05,9.206681e-05,0.0014205729,0.0010558865,-0.0005080312,0.039237667,0.027008794,0.026991345,0.027020598,0.06979301,0.27100861072540283,0.20518344640731812,0.3356057
1rrrhw2b,sample_47000,0.960200011730194,1000,"(512, 512, 512)",512,512,512,511,512,10,-7.34771e-05,7.8933226e-05,0.0014496896,0.001090244,-0.0005079672,0.039237667,0.02721699,0.027197905,0.027226675,0.07379694,0.2680513560771942,0.20728838443756104,0.32387066
qat6dsst,sample_55000,0.9609000086784364,1000,"(512, 512, 512)",512,512,512,511,512,10,-7.34771e-05,8.067959e-05,0.0014481621,0.0010923129,-0.00050794735,0.039237667,0.027229622,0.02721064,0.02723922,0.074035235,0.2673766613006592,0.20759087800979614,0.32354623
6i3yu820,sample_8000,0.5706999897956848,1000,"(1024, 1024, 1024)",1024,784,1024,1023,1024,10,1.6459173e-05,-1.4569837e-06,2.264897e-05,4.890231e-05,1.17971595e-05,0.033252895,0.01802604,0.018036501,0.018045202,0.018410932,0.0815671980381012,0.08368533849716187,0.19416666
hxfvql8s,sample_12000,0.5870000123977661,1000,"(1024, 1024, 1024)",1024,784,1024,1023,1023,10,1.6459173e-05,-1.8096117e-06,2.8810588e-05,5.3382413e-05,1.1797956e-05,0.033252895,0.018026901,0.018037362,0.018046072,0.018503496,0.08324429392814636,0.08457257598638535,0.2011587
dvx134vt,sample_25000,0.9437999725341796,1000,"(1024, 1024, 1024)",1024,784,1024,1023,1023,10,1.6459173e-05,-3.37417e-05,0.00059648213,0.00048031838,1.1894643e-05,0.033252895,0.01844945,0.018451758,0.018466583,0.044222973,0.2332209050655365,0.17044250667095184,0.36223495
guo5zaw7,sample_32000,0.9599000215530396,1000,"(1024, 1024, 1024)",1024,784,1024,1024,1023,10,1.6459173e-05,-3.202453e-05,0.00062491634,0.0005149481,1.1977111e-05,0.033252895,0.018592156,0.018593099,0.018607313,0.049922403,0.22247394919395447,0.17280176281929016,0.3341514
jiyxt1a1,sample_40000,0.9473000168800354,1000,"(1024, 1024, 1024)",1024,784,1023,1023,1023,10,1.6459173e-05,-3.2628963e-05,0.0005944046,0.0004821914,1.1901092e-05,0.033252895,0.018459866,0.018462192,0.018476872,0.044663176,0.22891074419021606,0.1700115203857422,0.35862994
vyj4v7ci,sample_8000,0.12849999964237213,1000,"(8, 8, 8)",8,8,8,8,8,8,0.0002709585,0.030211145,-0.06646532,0.0050111553,-0.04115224,0.05018328,0.19729184,0.20567967,0.18744361,0.21167772,0.13411881029605865,0.13886143267154694,0.7284404
3okep5t6,sample_12000,0.13339999318122864,1000,"(8, 8, 8)",8,8,8,8,8,8,0.0002709585,0.030468687,-0.066428065,0.0049295556,-0.041152257,0.05018328,0.19732971,0.20577668,0.18756403,0.21160188,0.13436491787433624,0.13911482691764832,0.7283269
v0xp2d5h,sample_25000,0.11819999665021896,1000,"(8, 8, 8)",8,8,8,8,8,8,0.0002709585,0.0302121,-0.06646274,0.004997424,-0.04115229,0.05018328,0.19727257,0.20568222,0.18745768,0.21162279,0.13416580855846405,0.13884083926677704,0.72872376
mfaeleiq,sample_32000,0.11670000106096268,1000,"(8, 8, 8)",8,8,8,8,8,8,0.0002709585,0.030339003,-0.06644016,0.0049771806,-0.0411523,0.05018328,0.19727932,0.20572403,0.18751696,0.21162319,0.1342027336359024,0.1389237344264984,0.7286682
hogqx74c,sample_40000,0.11469999700784685,1000,"(8, 8, 8)",8,8,8,8,8,8,0.0002709585,0.030186929,-0.06645302,0.0050033852,-0.04115231,0.05018328,0.19727461,0.20567831,0.18746217,0.21162955,0.13414175808429718,0.1388324797153473,0.7286749
0bps07yy,sample_47000,0.11389999836683272,1000,"(8, 8, 8)",8,8,8,8,8,8,0.0002709585,0.03025506,-0.06644572,0.0049987435,-0.041152287,0.05018328,0.19728433,0.20569818,0.18748039,0.21165861,0.13414403796195984,0.13888120651245117,0.7285667
hl7l9q0z,sample_55000,0.11389999836683272,1000,"(8, 8, 8)",8,8,8,8,8,8,0.0002709585,0.03014344,-0.06646103,0.0050134463,-0.041152287,0.05018328,0.19727619,0.20566444,0.1874414,0.21164662,0.13411659002304077,0.13880807161331177,0.728621
9lv4do1m,sample_8000,0.10100000351667404,1000,"(16, 16, 16)",16,16,16,16,16,10,-0.00010267425,-0.013556937,-0.010196669,-0.006128217,0.0023302934,0.049891256,0.14412174,0.14422028,0.15155703,0.13887204,0.13384485244750977,0.1328624188899994,0.5023763
e5l8spwg,sample_12000,0.10100000351667404,1000,"(16, 16, 16)",16,16,16,16,16,10,-0.00010267425,-0.013547864,-0.0102048945,-0.0061391005,0.0023302934,0.049891256,0.14411703,0.14421459,0.1515513,0.13885629,0.13377919793128967,0.13281361758708954,0.50242275
xa0k8avg,sample_25000,0.10100000351667404,1000,"(16, 16, 16)",16,16,16,16,16,10,-0.00010267425,-0.0135180615,-0.010232246,-0.0061831637,0.0023302913,0.049891256,0.14410293,0.14419664,0.15153271,0.1388063,0.13356754183769226,0.13265255093574524,0.5024884
