run_id,run_name,test_accuracy,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
m8f7htjw,sample_25000,0.43059998750686646,1000,"(128, 128, 128)",128,128,128,10,0.00038612922,0.0013587929,0.00017042732,-0.0006106055,0.020678744,0.051548414,0.05122308,0.0532503,0.16281569004058838,0.1274416744709015,0.447205
opln1vp9,sample_32000,0.5102999806404114,1000,"(128, 128, 128)",128,128,128,10,0.00075722084,0.0020323023,0.00076215295,-0.0006106024,0.020851541,0.05197832,0.051687986,0.059049707,0.2502708435058594,0.17573904991149902,0.576926
m93oozh9,sample_40000,0.7095999717712402,1000,"(128, 128, 128)",128,128,128,10,0.0013155075,0.0032854348,0.001823432,-0.00061059877,0.021262424,0.05299986,0.052777164,0.07091165,0.39327743649482727,0.2502838671207428,0.62276113
cbk4bspu,sample_47000,0.7846999764442444,1000,"(128, 128, 128)",128,128,128,10,0.0016986143,0.004193512,0.0024967147,-0.0006105929,0.021672703,0.05401923,0.053851016,0.08095764,0.4958765506744385,0.3030473589897156,0.5866631
p9cd0k5w,sample_55000,0.8296999931335449,1000,"(128, 128, 128)",128,128,128,10,0.0019436299,0.004797975,0.0029179058,-0.00061057386,0.022020636,0.054880675,0.054750983,0.08857731,0.5609765648841858,0.33679983019828796,0.5517645
v9b5nd3t,sample_8000,0.31349998712539673,1000,"(256, 256, 256)",256,256,256,10,5.4763153e-05,-2.4035333e-05,0.00010985177,-0.0008401702,0.020595552,0.03603844,0.035967316,0.0362566,0.083840012550354,0.08725987374782562,0.2061517
7gtvpe15,sample_12000,0.3668000102043152,1000,"(256, 256, 256)",256,256,256,10,9.266373e-05,2.4566558e-05,0.00014706809,-0.00084016856,0.02060204,0.036050133,0.03597944,0.0365937,0.0919666439294815,0.09165821969509125,0.2441141
5d0y34im,sample_25000,0.4733000099658966,1000,"(256, 256, 256)",256,256,255,10,0.0004126314,0.0004746074,0.00048505017,-0.0008401641,0.020688973,0.03620762,0.036142025,0.04077998,0.163438618183136,0.13064639270305634,0.4654977
5itf88b8,sample_32000,0.6459000110626221,1000,"(256, 256, 256)",256,256,256,10,0.0007491931,0.0010143882,0.0008829451,-0.0008401647,0.020848436,0.036494967,0.03643968,0.04743951,0.24636149406433105,0.174736887216568,0.55142605
6exd128x,sample_40000,0.7638999819755554,1000,"(256, 256, 256)",256,256,256,10,0.0010979095,0.0016484538,0.001341257,-0.0008401596,0.02109686,0.036938176,0.0369004,0.05622027,0.33943432569503784,0.22185242176055908,0.5539715
iodkohu5,sample_47000,0.8029000163078308,1000,"(256, 256, 256)",256,256,256,10,0.0012613108,0.001963972,0.0015604965,-0.00084015203,0.02126064,0.037227936,0.037200786,0.0612711,0.3839229941368103,0.24422308802604675,0.5387466
wpmwgwh6,sample_55000,0.8343999981880188,1000,"(256, 256, 256)",256,256,256,10,0.0013561194,0.0021542339,0.0016990497,-0.00084014394,0.021387724,0.037451595,0.03743142,0.0648943,0.40929529070854187,0.25714826583862305,0.52349764
2n85dtru,sample_8000,0.47780001163482666,1000,"(512, 512, 512)",512,511,512,10,3.4601682e-05,6.394861e-05,-3.9113962e-05,0.0003285113,0.020585535,0.025504287,0.02551175,0.025696302,0.08344628661870956,0.08735717833042145,0.17696683
mtm43ll6,sample_12000,0.5666000247001648,1000,"(512, 512, 512)",512,512,512,10,6.7795096e-05,9.491649e-05,-1.566957e-05,0.00032851248,0.020590074,0.025509961,0.02551755,0.026007744,0.09024567157030106,0.09088894724845886,0.19578123
yqouexi6,sample_25000,0.6104000210762024,1000,"(512, 512, 512)",512,512,512,10,0.0003411113,0.00038489388,0.00018688299,0.0003285123,0.02064742,0.025582025,0.025592666,0.029750109,0.1498422771692276,0.12177187204360962,0.35574025
2n7625cp,sample_32000,0.7336999773979187,1000,"(512, 512, 512)",512,511,512,10,0.000628795,0.00072086195,0.00043607794,0.00032851327,0.020754602,0.025716772,0.02573318,0.035665907,0.21968430280685425,0.15726719796657562,0.4498671
iikslu95,sample_40000,0.7982000112533569,1000,"(512, 512, 512)",512,511,512,10,0.0008549482,0.0009915102,0.0006401502,0.00032852014,0.020879762,0.025873765,0.025896134,0.041474834,0.27760735154151917,0.18598738312721252,0.4702524
l6pylxy8,sample_47000,0.8319000005722046,1000,"(512, 512, 512)",512,512,512,10,0.00095722964,0.0011153441,0.0007338484,0.00032852922,0.020955963,0.025969047,0.025994543,0.044622485,0.30425673723220825,0.1986893266439438,0.46352768
5mywvvdr,sample_55000,0.8600999712944031,1000,"(512, 512, 512)",512,512,512,10,0.001022341,0.0011940555,0.0007964902,0.0003285339,0.021018822,0.026047502,0.026075087,0.04704464,0.32097581028938293,0.20678871870040894,0.4549549
xt8257hg,sample_8000,0.14710000157356262,1000,"(8, 8, 8)",8,8,8,8,6.751198e-05,0.026697833,-0.019510793,0.04679898,0.020725992,0.18830974,0.19053204,0.2088988,0.14907944202423096,0.09856052696704865,0.9149766
ticsxqqh,sample_12000,0.1899999976158142,1000,"(8, 8, 8)",8,8,8,8,0.00014657376,0.027823474,-0.018457666,0.04679898,0.020864716,0.1896482,0.19200712,0.2101017,0.18196645379066467,0.12532614171504974,0.9213683
8riutvkw,sample_25000,0.2085999995470047,1000,"(8, 8, 8)",8,8,8,8,0.00044569327,0.032856632,-0.01351916,0.046798937,0.021673001,0.19761787,0.20056188,0.21790726,0.29393231868743896,0.2248389720916748,0.9515527
snzzdmle,sample_32000,0.21979999542236328,1000,"(8, 8, 8)",8,8,8,8,0.0004705319,0.033613704,-0.012691601,0.04679905,0.021807255,0.19894525,0.2020439,0.21921766,0.30750951170921326,0.23679788410663605,0.95432854
xq78we2o,sample_40000,0.22519999742507937,1000,"(8, 8, 8)",8,8,8,8,0.00051991,0.034898203,-0.011255167,0.046799015,0.022043703,0.20128086,0.2046656,0.22156942,0.3310970664024353,0.2562229037284851,0.9585437
uyi63j6l,sample_47000,0.23319999873638153,1000,"(8, 8, 8)",8,8,8,8,0.00054977613,0.03656949,-0.009378207,0.046799034,0.02234575,0.20424318,0.2080188,0.22451586,0.34956270456314087,0.27819496393203735,0.9630294
3oocsiyc,sample_55000,0.2621000111103058,1000,"(8, 8, 8)",8,8,8,8,0.0006883241,0.05630596,0.0130759105,0.046799134,0.026032187,0.23986383,0.2489095,0.26562884,0.5629702806472778,0.42960286140441895,0.93501973
w88gcerd,sample_8000,0.10279999673366548,1000,"(16, 16, 16)",16,16,16,10,-0.000117719144,-0.0017950798,0.0042277295,0.001916569,0.02063226,0.1405238,0.14199816,0.14152849,0.08233907073736191,0.08311913907527924,0.5181546
