run_id,run_name,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
14umxhey,sample_12000,1000,"(64, 64, 64)",64,64,64,10,0.0029826642,0.009807512,0.009517098,-0.002707143,0.025575027,0.08959106,0.08982982,0.15858135,0.8578855991363525,0.5295120477676392,0.51919174
54jm1lqt,sample_25000,1000,"(64, 64, 64)",64,64,64,10,0.002751989,0.009599991,0.0091098985,-0.0027069848,0.026269877,0.091992766,0.092266895,0.16724905,0.8250425457954407,0.5234106779098511,0.49636585
wmwbwi3d,sample_47000,1000,"(1024, 1024, 1024)",784,1024,1024,10,0.0004536358,0.0006500359,0.0004926908,-0.00017773049,0.021295685,0.01862198,0.018638251,0.050921537,0.21201220154762268,0.17179830372333527,0.30823618
jax9ow1o,sample_32000,1000,"(64, 64, 64)",64,64,64,10,0.0024243824,0.009283658,0.009200858,-0.0027067685,0.027231542,0.09528421,0.09551985,0.17868982,0.7894890904426575,0.5218823552131653,0.47510207
5z2t8ez9,sample_40000,1000,"(64, 64, 64)",64,64,64,10,0.0026048345,0.009248926,0.009029496,-0.002706948,0.026553443,0.09297461,0.093209706,0.17057587,0.8059082627296448,0.5213066935539246,0.48328215
74vz2rm8,sample_47000,1000,"(64, 64, 64)",64,64,64,10,0.0020850333,0.009596104,0.009544201,-0.002706337,0.028750237,0.10045329,0.10065414,0.195938,0.7653728127479553,0.5308550596237183,0.43174022
b7jvm538,sample_55000,1000,"(64, 64, 64)",64,64,64,10,0.0020356865,0.009602992,0.0096776495,-0.002706121,0.028868463,0.10084805,0.101027526,0.19720058,0.7629286646842957,0.5319133400917053,0.4280132
b5uq692u,sample_55000,1000,"(1024, 1024, 1024)",784,1024,1024,10,0.000508358,0.00062549964,0.00046609127,-0.00017779609,0.021175696,0.018519064,0.018535726,0.04692006,0.21606838703155518,0.17029866576194763,0.3262231
be7aa9e7,sample_8000,1000,"(128, 128, 128)",128,128,128,10,7.099526e-05,0.00014822907,6.56973e-05,-0.00012659426,0.020637222,0.050907988,0.051093325,0.049397733,0.08375175297260284,0.08908995985984802,0.21428344
orh829fn,sample_12000,1000,"(128, 128, 128)",128,128,128,10,7.092326e-05,0.00014803206,6.581294e-05,-0.00012659417,0.02063725,0.05090806,0.05109337,0.049398303,0.08373436331748962,0.08909273147583008,0.21455795
y4yq6m6r,sample_25000,1000,"(128, 128, 128)",128,128,128,10,0.0017184749,0.0054698936,0.004589689,-0.00012626332,0.02481494,0.061229642,0.061551712,0.13452663,0.5725460052490234,0.3898402452468872,0.43658394
cgwlut7h,sample_32000,1000,"(128, 128, 128)",128,128,128,10,0.0015794192,0.005567026,0.004627046,-0.00012623714,0.025221398,0.062198725,0.06250973,0.14005084,0.5643183588981628,0.3932640254497528,0.42510718
sh6sp8cr,sample_40000,1000,"(128, 128, 128)",128,128,128,10,0.0015383307,0.0056173294,0.0047295727,-0.00012616887,0.025479114,0.06282716,0.06312245,0.14352776,0.5681028366088867,0.3974536955356598,0.41680515
hildv56p,sample_47000,1000,"(128, 128, 128)",128,128,128,10,0.0014509358,0.0057917535,0.004812247,-0.00012599742,0.026052348,0.0642161,0.06449868,0.15113139,0.5693135261535645,0.40483319759368896,0.4028805
55h5f5rr,sample_47000,1000,"(512, 512, 512)",512,512,512,10,0.00069547485,0.0012641897,0.00094335474,-0.000325447,0.021827504,0.026981631,0.02699676,0.06935894,0.29499444365501404,0.220140740275383,0.3688717
v3atd2xt,sample_55000,1000,"(128, 128, 128)",128,128,128,10,0.0015137901,0.00564314,0.0046362556,-0.00012612595,0.025429256,0.06269702,0.0629974,0.14275537,0.567166805267334,0.3978242576122284,0.42350435
h3aznioa,sample_55000,1000,"(512, 512, 512)",512,512,512,10,0.0006497845,0.0012876361,0.0009758175,-0.0003253504,0.02200932,0.027203241,0.02721743,0.07365147,0.2941438853740692,0.22361890971660614,0.35313743
mx0vazwd,sample_8000,1000,"(256, 256, 256)",256,256,256,10,0.00026476342,-2.4339242e-05,0.00025317716,-0.00069343345,0.020666327,0.03625733,0.036095213,0.03779505,0.12841233611106873,0.11272789537906647,0.31484327
qeik0nqj,sample_12000,1000,"(256, 256, 256)",256,255,256,10,0.00032566587,5.638644e-05,0.00031498566,-0.0006934334,0.020681595,0.036285777,0.03612416,0.038563296,0.14202716946601868,0.11988487839698792,0.34856808
eg9baip7,sample_25000,1000,"(256, 256, 256)",256,256,256,10,0.0012764417,0.0022961933,0.002186445,-0.000693086,0.022763122,0.03992819,0.03982288,0.094486594,0.4267007112503052,0.29332980513572693,0.39831293
dnxuol50,sample_32000,1000,"(256, 256, 256)",256,256,256,10,0.0012007791,0.0023096341,0.0021896928,-0.00069307873,0.022899128,0.040156398,0.04005268,0.09694295,0.4184267520904541,0.29390254616737366,0.38468996
uw8ynwjn,sample_40000,1000,"(256, 256, 256)",256,256,256,10,0.00112295,0.0023915644,0.0022565494,-0.00069293135,0.023246298,0.040748358,0.040644575,0.103060015,0.417469322681427,0.29852941632270813,0.37418312
lwv6u27o,sample_47000,1000,"(256, 256, 256)",256,256,256,10,0.0011366274,0.0023268424,0.0022173645,-0.00069302326,0.023021156,0.0403617,0.040255312,0.09904468,0.41557127237319946,0.29524970054626465,0.38235062
jsghtv4h,sample_40000,1000,"(512, 512, 512)",512,512,512,10,0.00069892226,0.0012613771,0.000946199,-0.0003254399,0.021840084,0.026997626,0.027012719,0.06968668,0.2958971858024597,0.220438152551651,0.36818716
ep892ofr,sample_55000,1000,"(256, 256, 256)",256,256,256,10,0.0010712935,0.0023925323,0.0022549732,-0.0006928485,0.023291804,0.040823646,0.040719282,0.10379983,0.4135541617870331,0.2991153597831726,0.37273532
c5fnc5hn,sample_32000,1000,"(512, 512, 512)",512,512,512,10,0.0009247613,0.0012147559,0.00086371996,-0.0003256292,0.021411542,0.026481133,0.02649665,0.058579437,0.31531083583831787,0.21659643948078156,0.41696292
6lmdq1ie,sample_12000,1000,"(512, 512, 512)",512,512,512,10,0.0009788659,0.0012164274,0.00086363516,-0.0003256531,0.021348178,0.02640539,0.026420204,0.05674123,0.32318195700645447,0.21801623702049255,0.43099296
qt7d16r5,sample_25000,1000,"(512, 512, 512)",512,512,512,10,0.0007966536,0.0012466679,0.0009140458,-0.00032552544,0.021670103,0.026793025,0.026809383,0.06553216,0.3020886480808258,0.21829459071159363,0.38733172
m39xxys9,sample_8000,1000,"(512, 512, 512)",512,512,512,10,0.0010191883,0.0012056926,0.0008527842,-0.00032567992,0.021257235,0.026294896,0.0263083,0.05396299,0.3289449214935303,0.21805372834205627,0.44221884
